Username,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,score_12_12,rank_12_12
SenpaiG,Venom: The Last Dance, Anora, Smile 2, Kneecap, Blitz, I'm Still Here, Emilia Perez, Nosferatu,1060.0,7009.0
SGibson,Dune: Part Two, Anora, A Real Pain, September 5, Smile 2, The Substance, Will & Harper, The Apprentice,1206.0,4723.0
joneslikeindiana,Alien: Romulus, Moana 2, Didi, Inside Out 2, All We Imagine As Light, The Brutalist, Nosferatu, The Order,1001.0,7906.0
TheBigKnifeFromAvatar,Challengers, Conclave, A Complete Unknown, The Brutalist, Saturday Night, His Three Daughters, Sing Sing, Evil Does Not Exist,1219.0,4543.0
InclusionRider429,The Brutalist, Saturday Night, The Outrun, A Real Pain, Anora, Challengers, The Piano Lesson, Inside Out 2,1174.0,5187.0
mabfan,Wicked, Deadpool & Wolverine, Super/Man: The Christopher Reeve Story, Nickel Boys, Hit Man, My Old Ass, Piece by Piece, Babygirl,1104.0,6324.0
3 hour long bad time enjoyer,Anora, The Brutalist, A Complete Unknown, Sonic the Hedgehog 3, A Real Pain, The Room Next Door, The Seed of the Sacred Fig, The Piano Lesson,1179.0,5107.0
KristineK,Emilia Perez, Blitz, The Brutalist, The Wild Robot, A Real Pain, His Three Daughters, The Substance, Smile 2,1224.0,4476.0
bn621,Challengers, The Beast, Cuckoo, Dune: Part Two, Wicked, Didi, Small Things Like These, Joker: Folie a Deux,1099.0,6417.0
CarKins,Emilia Perez, Super/Man: The Christopher Reeve Story, Inside Out 2, The Wild Robot, Wicked, Saturday Night, Deadpool & Wolverine, Beetlejuice Beetlejuice,1164.0,5331.0
Connor Pat,His Three Daughters, Emilia Perez, Anora, The Wild Robot, Super/Man: The Christopher Reeve Story, The Piano Lesson, Hard Truths, A Real Pain,1169.0,5265.0
Denzel Washingtons Third Oscar,Anora, September 5, The Brutalist, Gladiator II, Carry-On, Piece by Piece, The Last Showgirl, Kneecap,1172.0,5230.0
Ccaarroollyynn,Moana 2, Saturday Night, Gladiator II, Smile 2, Six Triple Eight, The Life of Chuck, Relay, Beetlejuice Beetlejuice,913.0,9216.0
Anonymous,Anora, Emilia Perez, The Brutalist, Sonic the Hedgehog 3, A Real Pain, The Room Next Door, The Seed of the Sacred Fig, The Life of Chuck,1239.0,4260.0
Elisabeth's Precious Little Star,Anora, The Wild Robot, The Brutalist, A Real Pain, The Room Next Door, Babygirl, Will & Harper, September 5,1184.0,5027.0
kc,Mufasa: The Lion King, Anora, A Real Pain, Venom: The Last Dance, The Outrun, The Piano Lesson, Beetlejuice Beetlejuice, Babygirl,1019.0,7621.0
LeahK,Emilia Perez, Nosferatu, Queer, Wicked, Inside Out 2, Saturday Night, The Last Showgirl, Blink Twice,1179.0,5107.0
Brillman,A Complete Unknown, Wicked, Queer, We Live in Time, Eden, Nosferatu, Inside Out 2, Challengers,1119.0,6071.0
New Rome State of Mind,Maria, A Real Pain, The Brutalist, Anora, Sonic the Hedgehog 3, No Other Land, A Complete Unknown, Juror #2,1179.0,5107.0
Lego Robert Moses Biopic or We Riot,Gladiator II, Conclave, The Brutalist, The Life of Chuck," ""The Lord of the Rings: The War of the Rohirrim
""", Babygirl, Red One, Lee,1132.0,5862.0
alfie,Dune: Part Two, Wicked, Inside Out 2, We Live in Time, Furiosa: A Mad Max Saga, Civil War, Red One, Didi,1094.0,6491.0
RachelE543,Gladiator II, Venom: The Last Dance, Kingdom of the Planet of the Apes, Nosferatu, Nightbitch, Smile 2, The Life of Chuck, The Brutalist,992.0,8032.0
MamaDuchess,Moana 2, Emilia Perez, Queer, Sonic the Hedgehog 3, Red One, The Seed of the Sacred Fig, Will & Harper, Piece by Piece,980.0,8214.0
Blankuel,Gladiator II, Anora, Emilia Perez, I'm Still Here, Kneecap, Piece by Piece, Frida, All We Imagine As Light,1152.0,5518.0
paststrange,Conclave, A Real Pain, The Room Next Door, Super/Man: The Christopher Reeve Story, The Seed of the Sacred Fig, The Friend, Anora, Emilia Perez,1249.0,4128.0
sophialopres,Queer, Anora, Conclave, The Brutalist, Maria, The Last Showgirl, The Apprentice, Y2K,1239.0,4260.0
Richard F,Anora, Emilia Perez, Inside Out 2, I Saw the TV Glow, Thelma, The Substance, The Seed of the Sacred Fig, Babygirl,1193.0,4910.0
CJ,The Brutalist, September 5, Conclave, Anora, Blitz, The Life of Chuck, The Substance, Memoir of a Snail,1328.0,3085.0
Just a Minor Thing,Anora, Conclave, The Brutalist, The Life of Chuck, Memoir of a Snail, Daughters, Emilia Perez, Will & Harper,1313.0,3298.0
Ahawes,Blitz, Wicked, Queer, A Real Pain, Beetlejuice Beetlejuice, September 5, Here, Deadpool & Wolverine,1113.0,6182.0
Nordic Sparkler,Joker: Folie a Deux, Furiosa: A Mad Max Saga, Transformers One, Godzilla x Kong: The New Empire, Deadpool & Wolverine, Wicked, Mufasa: The Lion King, Sing Sing,1093.0,6509.0
Clea,I Saw the TV Glow, Longlegs, Dune: Part Two, Wicked, Furiosa: A Mad Max Saga, Kinds of Kindness, Joker: Folie a Deux, Twisters,1078.0,6745.0
HelenUvTroy,Bird, Joker: Folie a Deux, Wicked, Inside Out 2, A Complete Unknown, Babygirl, Civil War, Wolfs,1048.0,7197.0
JM Video,Gladiator II, A Complete Unknown, The Brutalist, Venom: The Last Dance, Here, Juror #2, Nutcrackers, Oh Canada,1011.0,7752.0
Joni,Y2K, The Life of Chuck, Oh Canada, Smile 2, Kraven the Hunter, A Complete Unknown, Wicked, Joker: Folie a Deux,1023.0,7563.0
Scamandalous,Nickel Boys, Anora, The Brutalist, Babygirl, Nosferatu, The Piano Lesson, Challengers, The Life of Chuck,1193.0,4910.0
JTW90210,Anora, The Brutalist, Sing Sing, Emilia Perez, The Life of Chuck, Juror #2, Super/Man: The Christopher Reeve Story, Frida,1243.0,4204.0
cmargk,Emilia Perez, A Complete Unknown, The Brutalist, Hard Truths, Juror #2, Anora, Super/Man: The Christopher Reeve Story, Fancy Dance,1243.0,4204.0
Sophiaetc,Anora, Emilia Perez, Conclave, Hard Truths, The Room Next Door, Daughters, The Substance, Will & Harper,1313.0,3298.0
Juror Folie a Deux,Joker: Folie a Deux, Juror #2, No Other Land, Flow, Kneecap, Gladiator II, Anora, All We Imagine As Light,1046.0,7223.0
Blawlz19 Sparkles,Anora, Emilia Perez, Conclave, The Brutalist, Juror #2, Kraven the Hunter, Civil War, Cuckoo,1303.0,3423.0
Brorizon a Mad MaXXXine Saga Folie a,Dune: Part Two, Smile 2, Beetlejuice Beetlejuice, Inside Out 2, Alien: Romulus, Challengers, Wicked, Sasquatch Sunset,1088.0,6587.0
The Crocs Father,A Real Pain, His Three Daughters, The Room Next Door, Conclave, Will & Harper, Babygirl, Gladiator II, All We Imagine As Light,1101.0,6377.0
You Had One Job,Gladiator II, Blitz, Here, Wicked, Saturday Night, Super/Man: The Christopher Reeve Story, Christmas Eve in Miller's Point, Arthur the King,1076.0,6778.0
kennedy,Anora, Sing Sing, Queer, Challengers, The Brutalist, Problemista, Love Lies Bleeding, The Life of Chuck,1183.0,5042.0
EliseVanPelt,Nickel Boys, Conclave, Furiosa: A Mad Max Saga, The Substance, Anora, Challengers, Sonic the Hedgehog 3, The End,1273.0,3806.0
elmleyound,Sonic the Hedgehog 3, Evil Does Not Exist, Moana 2, Dune: Part Two, A Real Pain, Heretic, The Substance, The Beast,1084.0,6646.0
Samwell,Dune: Part Two, Wicked, Challengers, Nosferatu, Furiosa: A Mad Max Saga, Smile 2, MaXXXine, Inside Out 2,1123.0,6002.0
Diego,Moana 2, Emilia Perez, Mufasa: The Lion King, Smile 2, Brothers, Nutcrackers, Sonic the Hedgehog 3, Red One,959.0,8541.0
There Will Be Goulash,Anora, The Brutalist, A Real Pain, Nosferatu, Saturday Night, The Wild Robot, Piece by Piece, A Complete Unknown,1217.0,4574.0
Beckyranson,A Family Affair, Joker: Folie a Deux, Moana 2, Argylle, Dune: Part Two, It Ends With Us, Venom: The Last Dance, Christmas Eve in Miller's Point,868.0,9899.0
thecracken,Gladiator II, Moana 2, The Substance, Civil War, Tuesday, The Life of Chuck, Furiosa: A Mad Max Saga, Megalopolis,1006.0,7829.0
Perishable,Moana 2, Mufasa: The Lion King, Sonic the Hedgehog 3, The Last Showgirl, Joker: Folie a Deux, Venom: The Last Dance, The Order, The Life of Chuck,833.0,10381.0
Ellen,Wicked, Maria, Saturday Night, Juror #2, Oh Canada, Conclave, The Apprentice, Blitz,1158.0,5428.0
canopymanatee,Will & Harper, Moana 2, Small Things Like These, Evil Does Not Exist, The Beast, Challengers, Saturday Night, Gladiator II,946.0,8717.0
Bradshaw,Moana 2, Sonic the Hedgehog 3, A Quiet Place - Day 1, Super/Man: The Christopher Reeve Story, Gladiator II, Nosferatu, Speak No Evil, The Substance,1021.0,7597.0
Seed of the Sacred Squibb,Anora, The Brutalist, Babygirl, Saturday Night, The Seed of the Sacred Fig, Flow, Emilia Perez, Thelma,1222.0,4505.0
adrien brodys instagram videos,Gladiator II, The Brutalist, Emilia Perez, Hard Truths, On Becoming a Guinea Fowl, Flow, The Substance, My Dead Friend Zoe,1245.0,4171.0
maxxam,Emilia Perez, Anora, Joker: Folie a Deux, A Real Pain, Challengers, Kinds of Kindness, I'm Still Here, Kneecap,1142.0,5695.0
Wundrino,Brothers, Sonic the Hedgehog 3, Kraven the Hunter, Gladiator II, Conclave, Sasquatch Sunset, A Real Pain, Venom: The Last Dance,1030.0,7463.0
d,Anora, Smile 2, The Brutalist, Babygirl, We Live in Time, Nosferatu, Nickel Boys, Here,1152.0,5518.0
this is how I win,Anora, Conclave, The Brutalist, Hard Truths, Sonic the Hedgehog 3, Blink Twice, Saturday Night, Challengers,1252.0,4091.0
gracesullentrup,Anora, Heretic, I Saw the TV Glow, Longlegs, Lisa Frankenstein, Challengers, Gladiator II, Nightbitch,1070.0,6862.0
Moana Folie a Two,Heretic, Anora, A Complete Unknown, Oh Canada, Furiosa: A Mad Max Saga, Juror #2, Gladiator II, All We Imagine As Light,1100.0,6396.0
Airline Chicken,Moana 2, Dune: Part Two, Here, The Last Showgirl, Red One, Challengers, Juror #2, Love Lies Bleeding,943.0,8756.0
Day for Night,A Real Pain, Saturday Night, Will & Harper, Joker: Folie a Deux, Anora, The Outrun, All We Imagine As Light, Emilia Perez,1137.0,5778.0
sanctioned buffoonery,The Piano Lesson, Here, The Substance, Moana 2, Maria, Emilia Perez, Will & Harper, Brothers,1063.0,6978.0
mdog16,The Wild Robot, Anora, Saturday Night, The Brutalist, Challengers, Conclave, Piece by Piece, Small Things Like These,1252.0,4091.0
Bookles,Gladiator II, Moana 2, Juror #2, The Black Box Diaries, The Fire Inside, The Room Next Door, Babygirl, My Dead Friend Zoe,926.0,9002.0
Trosenblum,The Wild Robot, A Complete Unknown, Wicked, The Piano Lesson, Nosferatu, Saturday Night, Heretic, The Life of Chuck,1121.0,6041.0
mloran,Didi, The Outrun, Thelma, Nosferatu, Will & Harper, Sing Sing, Mufasa: The Lion King, Wicked,1131.0,5872.0
Anora for Pope 2025,Anora, Conclave, The Apprentice, The Room Next Door, The Piano Lesson, The Brutalist, The Life of Chuck, The Wild Robot,1227.0,4433.0
Jayson,Conclave, The Brutalist, The Piano Lesson, The Life of Chuck, Emilia Perez, The Wild Robot, The Last Showgirl, A Real Pain,1261.0,3984.0
playonweirds,Transformers One, Moana 2, Joker: Folie a Deux, Sonic the Hedgehog 3, A Real Pain, A Complete Unknown, Here, Memoir of a Snail,927.0,8987.0
A Different Real Complete Unknown Man Pain,Anora, Conclave, Mufasa: The Lion King, A Real Pain, September 5, Here, Red One, Super/Man: The Christopher Reeve Story,1171.0,5244.0
servedbysam,Nightbitch, Wicked, Maria, Lee, Saturday Night, The Room Next Door, Nosferatu, Conclave,1171.0,5244.0
Harriet,Emilia Perez, Conclave, The Wild Robot, A Real Pain, Sonic the Hedgehog 3, Didi, I Saw the TV Glow, The Substance,1246.0,4157.0
Garce,Moana 2, September 5, Maria, Challengers, Eden, The Brutalist, Small Things Like These, The Room Next Door,1017.0,7649.0
tbw21,The Brutalist, The Seed of the Sacred Fig, A Real Pain, Emilia Perez, Conclave, The Piano Lesson, Juror #2, September 5,1266.0,3897.0
A Fish Called Cat,The Wild Robot, Anora, Beetlejuice Beetlejuice, Nosferatu, Smile 2, Kneecap, The Brutalist, Conclave,1236.0,4305.0
Bryony,Emilia Perez, Sing Sing, The Brutalist, The Wild Robot, Sonic the Hedgehog 3, The Substance, I'm Still Here, All We Imagine As Light,1255.0,4053.0
Pat,Inside Out 2, His Three Daughters, Emilia Perez, A Quiet Place - Day 1, Wicked, Nightbitch, The Room Next Door, Deadpool & Wolverine,1130.0,5887.0
minute5072,Sonic the Hedgehog 3, Kingdom of the Planet of the Apes, A Real Pain, The Outrun, Will & Harper, Sing Sing, The Brutalist, Anora,1195.0,4880.0
Michelle,Anora, Sing Sing, Nosferatu, Smile 2, The Room Next Door, The Brutalist, The Seed of the Sacred Fig, Saturday Night,1165.0,5317.0
NatalieM,Joker: Folie a Deux, Deadpool & Wolverine, The Black Box Diaries, A Complete Unknown, Blitz, Wicked, Here, Babygirl,1055.0,7084.0
GeorgieePorgiee,The Piano Lesson, All We Imagine As Light, Emilia Perez, The Seed of the Sacred Fig, The Brutalist, A Complete Unknown, The Room Next Door, Conclave,1245.0,4171.0
Kromanempire,Conclave, Blitz, Speak No Evil, Wicked, A Different Man, Deadpool & Wolverine, Kinds of Kindness, Megalopolis,1150.0,5548.0
ncsulbos,Deadpool & Wolverine, Blink Twice, Joker: Folie a Deux, Wicked, Beetlejuice Beetlejuice, Conclave, Y2K, Mufasa: The Lion King,1150.0,5548.0
Austinlugo,Anora, Joker: Folie a Deux, Venom: The Last Dance, Nosferatu, A Complete Unknown, Furiosa: A Mad Max Saga, The Wild Robot, Alien: Romulus,985.0,8129.0
ZambaMovieLover,Gladiator II, Joker: Folie a Deux, Moana 2, Back in Action , The Last Showgirl, Christmas Eve in Miller's Point, Brothers, Without Blood,899.0,9433.0
Joncolar,Thelma, The Wild Robot, Alien: Romulus, Moana 2, Sing Sing, Deadpool & Wolverine, Challengers, Wolfs,946.0,8717.0
Brat Awards Season,The Brutalist, Anora, Gladiator II," ""The Lord of the Rings: The War of the Rohirrim
""", Megalopolis, Will & Harper, Elton John: Never Too Late, All We Imagine As Light,1148.0,5590.0
Electric Boogaloo,Babygirl, Moana 2, The Brutalist, Nightbitch, The Room Next Door, The Piano Lesson, Maria, Relay,981.0,8198.0
Bob Cabana,Anora, Here, Conclave, Civil War, Challengers, The Brutalist, September 5, Deadpool & Wolverine,1245.0,4171.0
All About Emilia,Anora, Emilia Perez, Hard Truths, The Brutalist, I'm Still Here, Mufasa: The Lion King, Y2K, All We Imagine As Light,1245.0,4171.0
Fiennes Tire Town Challenger,Emilia Perez, Conclave, The Brutalist, I'm Still Here, No Other Land, Challengers, A Complete Unknown, Nosferatu,1275.0,3769.0
Katekgibson,Sing Sing, Moana 2, A Complete Unknown, The Piano Lesson, Megalopolis, His Three Daughters, Wolfs, IF,956.0,8580.0
Duned To Win,Emilia Perez, The Room Next Door, A Complete Unknown, The Seed of the Sacred Fig, Conclave, The Brutalist, All We Imagine As Light, The Piano Lesson,1245.0,4171.0
Rebecca V,My Old Ass, Anora, Ultraman: Rising, Emilia Perez, Frida, Gladiator II, All We Imagine As Light, The Promised Land,1148.0,5590.0
Brian Washburn,Piece by Piece, Evil Does Not Exist, A Complete Unknown, The Piano Lesson, September 5, A Real Pain, Moana 2, Blitz,971.0,8368.0
Ayeshu,Joker: Folie a Deux, Gladiator II, My Old Ass, Moana 2, Omni Loop, My Dead Friend Zoe, Monkey Man, Christmas Eve in Miller's Point,904.0,9357.0
Adam LL,Sing Sing, Anora, Emilia Perez, The Brutalist, Y2K, Universal Language, Elton John: Never Too Late, Memoir of a Snail,1245.0,4171.0
La Pension de Jeanne d Arc,Sing Sing, Moana 2, Heretic, Smile 2, The Piano Lesson, Mufasa: The Lion King, Rez Ball, Kneecap,951.0,8649.0
Sofie Refojo,Joker: Folie a Deux, Wicked, Queer, We Live in Time, Cuckoo, The Apprentice, Babygirl, Mufasa: The Lion King,1051.0,7143.0
Anora ya glad I didnt say banana,Anora, Gladiator II, Babygirl, The Room Next Door, The Black Box Diaries, Challengers, Kneecap, The Substance,1158.0,5428.0
Emilia is my Babygirl,Emilia Perez, Anora, The Brutalist, The Wild Robot, Babygirl, The Seed of the Sacred Fig, Flow, Y2K,1225.0,4463.0
Shark Attack,A Real Pain, Anora, Here, The Brutalist, The Wild Robot, A Complete Unknown, Saturday Night, A Quiet Place - Day 1,1190.0,4950.0
Acardinal50,Emilia Perez, The Brutalist, Saturday Night," ""The Lord of the Rings: The War of the Rohirrim
""", The Apprentice, Smile 2, The Outrun, Anora,1185.0,5014.0
Pastasaurus,Emilia Perez, The Piano Lesson, Saturday Night, Nightbitch, Beetlejuice Beetlejuice, Nosferatu, Deadpool & Wolverine, Wicked,1159.0,5412.0
pmacmich,Anora, A Complete Unknown, The Brutalist, Saturday Night, Here, Nickel Boys, His Three Daughters, Memoir of a Snail,1194.0,4896.0
Ive Come Specifically To See Callas,Maria, A Real Pain, Anora, Emilia Perez, Hard Truths, The Room Next Door, The Substance, The Life of Chuck,1239.0,4260.0
Jean Kayak,Joker: Folie a Deux, Wicked, Nickel Boys, Civil War, Here, Megalopolis, Inside Out 2, Saturday Night,1069.0,6881.0
Pumakopp,Mufasa: The Lion King, Wicked, Beetlejuice Beetlejuice, Venom: The Last Dance, Nosferatu, Deadpool & Wolverine," ""The Lord of the Rings: The War of the Rohirrim
""", Alien: Romulus,1009.0,7783.0
NdrewA,A Real Pain, The Room Next Door, Emilia Perez, Anora, Hard Truths, Oh Canada, Maria, The Substance,1239.0,4260.0
28 Mickeys Later,Dune: Part Two, The Brutalist, Anora, A Real Pain, The Seed of the Sacred Fig, Will & Harper, Memoir of a Snail, All We Imagine As Light,1224.0,4476.0
WeHaveHeardTheChimes,The Substance, Anora, Challengers, The Outrun, The Apprentice, Gladiator II, The Life of Chuck, Nosferatu,1163.0,5353.0
Noscarferatu,Anora, The Brutalist, Daughters, The Seed of the Sacred Fig, Nosferatu, The Wild Robot, A Real Pain, A Complete Unknown,1209.0,4673.0
iisdjp,Blitz, Wicked, A Complete Unknown, The Wild Robot, The Piano Lesson, Saturday Night, Hard Truths, Rez Ball,1104.0,6324.0
MPU,Anora, Blitz, Conclave, The Brutalist, A Real Pain, The Life of Chuck, Juror #2, Better Man,1254.0,4067.0
Shmooly375,Emilia Perez, Conclave, The Brutalist, The Seed of the Sacred Fig, Daughters, The Wild Robot, A Real Pain, The Apprentice,1260.0,3995.0
martymcfly,A Complete Unknown, Emilia Perez, Anora, The Brutalist, The Piano Lesson, I Am Celine Dion, Small Things Like These, Thelma,1224.0,4476.0
WillFrank,Anora, Conclave, Nickel Boys, The Brutalist, Here, Nosferatu, Piece by Piece, Christmas Eve in Miller's Point,1274.0,3784.0
The Wickedly Talented One and Only Adele Dazeem,Will & Harper, Moana 2, Emilia Perez, The Room Next Door, Madame Web, Saturday Night, Conclave, Godzilla x Kong: The New Empire,1090.0,6560.0
Willo,The Wild Robot, Conclave, Blitz, We Live in Time, Saturday Night, Wicked, Better Man, Wallace & Gromit: Vengeance Most Fowl,1173.0,5208.0
maryberryfan69,Anora, Emilia Perez, The Room Next Door, The Brutalist, The Wild Robot, I Saw the TV Glow, Will & Harper, Monkey Man,1208.0,4691.0
"Mikes Hard Truths Lemonade (Chris Feil, This Had Oscar Buzz)",Anora, Emilia Perez, The Wild Robot, The Brutalist, Hard Truths, Flow, On Becoming a Guinea Fowl, Janet Planet,1238.0,4279.0
JasonG,Gladiator II, Saturday Night, Wicked, Hand of Dante, Sonic the Hedgehog 3, Here, Nosferatu, Argylle,1086.0,6615.0
Juan the Don,Anora, A Complete Unknown, The Brutalist, Will & Harper, Emilia Perez, The Piano Lesson, Super/Man: The Christopher Reeve Story, Memoir of a Snail,1233.0,4342.0
MaXXXimum Points,Venom: The Last Dance, Sonic the Hedgehog 3, Moana 2, The Room Next Door, Saturday Night, Hard Truths, Janet Planet, Blitz,854.0,10101.0
The Movie Buffy,A Different Man, Heretic, A Complete Unknown, Conclave, Emilia Perez, Nightbitch, The Brutalist, Small Things Like These,1253.0,4080.0
hayleyhexagon,Conclave, Anora, The Brutalist, Challengers, Kinds of Kindness, Daughters, Flow, Inside Out 2,1238.0,4279.0
doctor cigarettes,Anora, Nickel Boys, Nosferatu, The Brutalist, The End, I Saw the TV Glow, Blitz, All We Imagine As Light,1178.0,5122.0
BloodySpectacle,Gladiator II, The Wild Robot, Venom: The Last Dance, Heretic, Nosferatu, The Life of Chuck, Will & Harper, The Brutalist,1036.0,7382.0
Jennifer,Joker: Folie a Deux, Wicked, Challengers, Blitz, Here, The Room Next Door, The Apprentice, Super/Man: The Christopher Reeve Story,1024.0,7545.0
Assessing the Tweets,Anora, Emilia Perez, Nickel Boys, The Brutalist, Memoir of a Snail, Will & Harper, The Seed of the Sacred Fig, The Life of Chuck,1258.0,4017.0
MatthewLeidholm,Anora, A Complete Unknown, The Brutalist, The Wild Robot, A Real Pain, The Life of Chuck, The Room Next Door, Saturday Night,1193.0,4910.0
Nquoid,Anora, The Brutalist, The Wild Robot, No Other Land, Nickel Boys, Hard Truths, Nosferatu, The Seed of the Sacred Fig,1208.0,4691.0
Kat,Emilia Perez, The Brutalist, The Substance, Anora, Will & Harper, The Piano Lesson, The Room Next Door, On Becoming a Guinea Fowl,1283.0,3674.0
Ss730,Challengers, Sonic the Hedgehog 3, Dune: Part Two, Smile 2, Nosferatu, Wicked, The Seed of the Sacred Fig, Hit Man,1118.0,6089.0
chipsahoy,Anora, Emilia Perez, Conclave, The Wild Robot, Juror #2, The Life of Chuck, Red One, Better Man,1203.0,4771.0
Rugrats 2,Conclave, Inside Out 2, Babygirl, Nosferatu, The Substance, The Piano Lesson, Anora, A Different Man,1228.0,4415.0
Lisa Barlow Al Ghaib,Anora, Nickel Boys, Babygirl, The Room Next Door, Juror #2, The Seed of the Sacred Fig, A Different Man, Conclave,1173.0,5208.0
All We Imagine As A Beautiful Face Huge,All We Imagine As Light, The Brutalist, Emilia Perez, The Fire Inside, Flow, Gladiator II, The Outrun, The Seed of the Sacred Fig,1151.0,5530.0
Joe Bear,The Brutalist, Emilia Perez, Anora, I'm Still Here, The Substance, Blitz, Alien: Romulus, The Seed of the Sacred Fig,1278.0,3733.0
degonfilm,"""The Lord of the Rings: The War of the Rohirrim
""", Wicked, Sonic the Hedgehog 3, Mufasa: The Lion King, Nosferatu, Smile 2, Sing Sing, Memoir of a Snail,1103.0,6342.0
Owen Wilczek,The Brutalist, Anora, The Wild Robot, Sing Sing, Nosferatu, All We Imagine As Light, Saturday Night, Exhibiting Forgiveness,1197.0,4850.0
samunboundleague,Dune: Part Two, Gladiator II, Wicked, Kneecap, The Promised Land, The Front Room, The Killer's Game, My Dead Friend Zoe,1130.0,5887.0
FuriosaSquibb,Anora, Sing Sing, The Brutalist, The Wild Robot, Saturday Night, His Three Daughters, Thelma, Super/Man: The Christopher Reeve Story,1172.0,5230.0
Marquez,Wicked, Didi, I Saw the TV Glow, Challengers, Here, Nosferatu, Problemista, Mufasa: The Lion King,1082.0,6682.0
Labonte,Emilia Perez, Anora, The Brutalist, Sonic the Hedgehog 3, Here, Saturday Night, All We Imagine As Light, The Apprentice,1203.0,4771.0
A   D  A M,Dune: Part Two, Wicked, The Black Box Diaries, Gladiator II, My Dead Friend Zoe, A Family Affair, Christmas Eve in Miller's Point, Frida,1135.0,5810.0
EmilyG,Daughters, September 5, Saturday Night, Anora, Nickel Boys, The Substance, Sing Sing, I'm Still Here,1222.0,4505.0
Xam Nosflow,Dune: Part Two, Wicked, Beetlejuice Beetlejuice, The American Society of Magical Negroes, Problemista, Heretic, Challengers, Babygirl,1127.0,5936.0
Gotta Go Fast,Sonic the Hedgehog 3, Nosferatu, Super/Man: The Christopher Reeve Story, Inside Out 2, Gladiator II, Wicked, Abigail, Frida,1090.0,6560.0
Amareya,Beetlejuice Beetlejuice, Moana 2, Joker: Folie a Deux, Inside Out 2, Sonic the Hedgehog 3, Venom: The Last Dance, The Crow, Transformers One,808.0,10707.0
Scorsese Soldier,Moana 2, Joker: Folie a Deux, Mufasa: The Lion King, Venom: The Last Dance, Sonic the Hedgehog 3, Kraven the Hunter, Woman of the Hour, The Last Showgirl,828.0,10437.0
Bartleby the Scrivener,Gladiator II, Dune: Part Two, The Black Box Diaries, Wicked, The Promised Land, A Family Affair, Mothers' Instinct, My Dead Friend Zoe,1135.0,5810.0
Jsydrah,Gladiator II, Dune: Part Two, Wicked, Arthur the King, Argylle, A Family Affair, Poolman, Christmas Eve in Miller's Point,1125.0,5965.0
snekse,Deadpool & Wolverine, Ultraman: Rising, Transformers One, Twisters, Wicked, Furiosa: A Mad Max Saga, A Quiet Place - Day 1, Gladiator II,1070.0,6862.0
Anora Ephron Film,Anora, Thelma, Conclave, We Live in Time, Babygirl, The Black Box Diaries, The Wild Robot, The Brutalist,1232.0,4356.0
Paul Mescal Gaib,Gladiator II, Emilia Perez, The Brutalist, The Room Next Door, A Different Man, Daughters, Super/Man: The Christopher Reeve Story, All We Imagine As Light,1140.0,5716.0
Lyssarie,Moana 2, Joker: Folie a Deux, Maria, Sonic the Hedgehog 3, Venom: The Last Dance, The Life of Chuck, Woman of the Hour, Will & Harper,808.0,10707.0
Juli,Wicked, Gladiator II, Dune: Part Two, The Promised Land, The Black Box Diaries, Omni Loop, Kneecap, Frida,1140.0,5716.0
Kaplan,Gladiator II, Challengers, Joker: Folie a Deux, The Last Showgirl, Monkey Man, The Apprentice, Nightbitch, Venom: The Last Dance,886.0,9634.0
Finn Coon,Wicked, Beetlejuice Beetlejuice, Nosferatu, Furiosa: A Mad Max Saga, Sonic the Hedgehog 3, The Fall Guy, Gladiator II, Woman of the Hour,1090.0,6560.0
GingerSarahB,The End, Wicked, The Room Next Door, Beetlejuice Beetlejuice, Gladiator II, The Black Box Diaries, Kingdom of the Planet of the Apes, Deadpool & Wolverine,1085.0,6629.0
Careee,Gladiator II, Dune: Part Two, Mothers' Instinct, Wicked, The Black Box Diaries, Frida, Omni Loop, A Family Affair,1135.0,5810.0
Mac,Anora, Conclave, A Complete Unknown, Lee, The Brutalist, Piece by Piece, We Live in Time, Saturday Night,1247.0,4147.0
Wakanda Forever,Sonic the Hedgehog 3, Anora, Conclave, The Best Christmas Pageant Ever, September 5, Emilia Perez, Christmas Eve in Miller's Point, The Substance,1307.0,3371.0
patrickbrady,Babygirl, Juror #2, Anora, Conclave, The Brutalist, Nosferatu, We Live in Time, Hard Truths,1242.0,4220.0
JallenC3,Moana 2, Emilia Perez, Mufasa: The Lion King, Y2K, A Complete Unknown, The Life of Chuck, The Substance, Christmas Eve in Miller's Point,1108.0,6265.0
80ForBradyTakesTheSubstance,Dune: Part Two, Anora, Nickel Boys, His Three Daughters, Kneecap, Venom: The Last Dance, No Other Land, The Black Box Diaries,1077.0,6764.0
Popcorn Knowledge Hub,Gladiator II, Moana 2, Will & Harper, The Room Next Door, Lee, Heretic, The Outrun, Memoir of a Snail,936.0,8861.0
Knowledge Hub Jones,Gladiator II, Moana 2, Will & Harper, The Room Next Door, Lee, Heretic, The Outrun, Memoir of a Snail,936.0,8861.0
Megabombolis,Gladiator II, Dune: Part Two, Wicked, Frida, The Promised Land, The American Society of Magical Negroes, Omni Loop, My Dead Friend Zoe,1125.0,5965.0
Cates,Conclave, Joker: Folie a Deux, Deadpool & Wolverine, Queer, The Wild Robot, Venom: The Last Dance, A Different Man, Challengers,992.0,8032.0
